mutation_rate,transition_matrix_AA,transition_matrix_AT,transition_matrix_AC,transition_matrix_AG,transition_matrix_TA,transition_matrix_TT,transition_matrix_TC,transition_matrix_TG,transition_matrix_CA,transition_matrix_CT,transition_matrix_CC,transition_matrix_CG,transition_matrix_GA,transition_matrix_GT,transition_matrix_GC,transition_matrix_GG
1.000768508254388e-06,0.43290285457973104,0.23951957230650558,0.24759673996052417,0.07998083315323928,0.10915410911454615,0.28251348245801555,0.17346449043205642,0.4348679179953818,0.0600083528526765,0.04428516143738481,0.7978800020338634,0.09782648367607527,0.028030265606687338,0.2368065278830713,0.605375906822935,0.12978729968730632
2.9131134206407627e-06,0.4207732709172657,0.09111026920672435,0.3101776104110524,0.17793884946495764,0.1526644760296827,0.2669480124722496,0.3401829714542254,0.2402045400438423,0.36022994848769163,0.2987352130767978,0.22663417276302086,0.11440066567248974,0.21214169922031523,0.2171022111594011,0.5557301301045114,0.015025959515772125
3.856593635197739e-06,0.15374833067190993,0.26252209824151834,0.4250196539249859,0.15870991716158583,0.1361218284624815,0.04440322566588503,0.4695445180785187,0.3499304277931148,0.5300737760674081,0.3079096280067194,0.08457451169466637,0.07744208423120602,0.09675439281627729,0.3261130484845589,0.22630962987025985,0.3508229288289039
9.60675461262727e-06,0.08592540166080243,0.4314859719550826,0.39542481052171813,0.08716381586239702,0.2309213044320297,0.24033412187589007,0.1215904982085281,0.40715407548355215,0.34833884354765504,0.40756444815912934,0.10796262034091297,0.13613408795230242,0.07841001398576244,0.2239121481960921,0.510572045083884,0.18710579273426148
9.934144473897465e-06,0.4460283542791812,0.17469970497669923,0.19420339321556018,0.18506854752855942,0.04446964827927119,0.3972878703104755,0.43477953899022764,0.12346294242002576,0.18068302992155938,0.1168170197471412,0.4670770441214521,0.2354229062098472,0.12930635608494528,0.27603761908955693,0.28665956386456065,0.30799646096093714
1.0143018711275457e-06,0.18980151365604878,0.33518682573049513,0.29280491746321635,0.1822067431502398,0.05108872687136476,0.1987920236003061,0.31287320940770125,0.4372460401206279,0.39004897441732084,0.24390989962262208,0.2176941640671466,0.14834696189291055,0.29155714722017706,0.04341001076672757,0.476211741540442,0.18882110047265346
9.331738793865012e-06,0.17295628100201313,0.37395203813784933,0.26179378424431116,0.19129789661582652,0.32852315571244795,0.18621933309439784,0.1707930479594502,0.31446446323370403,0.1600958751138857,0.7662484411273145,0.03398557061035959,0.0396701131484401,0.13010192669660559,0.209476578335943,0.5587905911176654,0.10163090384978604
3.6044538884915192e-06,0.23990190834147448,0.11774974627477539,0.38204997576350724,0.260298369620243,0.221646665261392,0.1338137273637396,0.28993919282254116,0.35460041455232727,0.45835451729596033,0.08061017051095765,0.11104609946057195,0.3499892127325101,0.011293655233492655,0.20525343428034762,0.09546726784120041,0.6879856426449593
6.531768264979385e-06,0.45594682316622104,0.1361010281530275,0.36465890097674675,0.04329324770400472,0.1181215289371883,0.04585521836542433,0.6036369449225172,0.2323863077748702,0.49622364134227787,0.1034749001877805,0.11644989069508901,0.2838515677748526,0.08019601932082007,0.041363767503025034,0.6272716770327788,0.2511685361433761
2.9387213976810496e-06,0.031854594293348276,0.09624346447767665,0.6688607118392085,0.2030412293897667,0.032590319636677134,0.40285274181639535,0.3615090770410724,0.2030478615058551,0.25297365764783025,0.38112954965726253,0.19717420242362071,0.16872259027128655,0.21298654199189346,0.3701413263218565,0.09025353038647221,0.326618601299778
