mutation_rate,transition_matrix_AT,transition_matrix_AC,transition_matrix_AG,transition_matrix_TA,transition_matrix_TC,transition_matrix_TG,transition_matrix_CA,transition_matrix_CT,transition_matrix_CG,transition_matrix_GA,transition_matrix_GT,transition_matrix_GC
3.210841862629063e-06,0.5645076325842083,0.39349072412443775,0.04200164329135381,0.00016562573000139524,0.4617708447727517,0.5380635294972469,0.5259140785598074,0.1279801995088688,0.34610572193132366,0.08016780429255804,0.03153831868453333,0.8882938770229086
8.784795815889244e-06,0.024707733688679623,0.06230928875320069,0.9129829775581196,0.8504308376015932,0.047801483536215494,0.10176767886219124,0.19842065045377774,0.18184622340502327,0.619733126141199,0.8780154024276821,0.10587388401863113,0.016110713553686873
1.6417526394854307e-06,0.2114702494872699,0.0739882911127584,0.7145414593999717,0.29314732583962355,0.48861869944095054,0.2182339747194259,0.14705137744447766,0.6086215623021545,0.24432706025336787,0.6329447294243408,0.0671967050689597,0.29985856550669954
9.495077198284452e-06,0.3520504550969849,0.039285232489980504,0.6086643124130346,0.21921663391833487,0.4057716180714722,0.3750117480101929,0.10406764115396294,0.6473393064373277,0.2485930524087093,0.2023450145892759,0.11345329395767181,0.6842016914530523
3.0026412834187606e-06,0.16424082660222108,0.4490659257477664,0.38669324765001245,0.04984999101537968,0.4394598039617277,0.5106902050228926,0.20778853997574442,0.45705795851046704,0.3351535015137885,0.1330544184174697,0.0503485237182541,0.8165970578642763
5.38908363352336e-06,0.006615153328422108,0.6143580582279531,0.37902678844362475,0.1887536030613448,0.078624897581903,0.7326214993567522,0.3830465169181797,0.37957310717540726,0.237380375906413,0.1737769940502418,0.7920784819441141,0.03414452400564416
8.689701030280537e-06,0.6256351196957874,0.25726378605770456,0.117101094246508,0.18044680378213912,0.7075491439533028,0.11200405226455806,0.47289087691261544,0.430168611510545,0.09694051157683958,0.6819606944150015,0.18592932743567356,0.13210997814932485
7.786363479348684e-06,0.6879729214540716,0.02077182876647804,0.29125524977945033,0.07895729125505369,0.5676711484669321,0.35337156027801414,0.25608323679692463,0.2622919697334241,0.4816247934696513,0.6035359326578796,0.36686389356993343,0.02960017377218699
9.361840643071886e-07,0.05919227271410665,0.8148139667399648,0.12599376054592862,0.055633036549965265,0.3448354886199863,0.5995314748300484,0.11381551246311389,0.09477059046976094,0.7914138970671253,0.16224931966368525,0.7774933712908558,0.06025730904545901
7.995949577948139e-06,0.08163743028387604,0.5496141798863167,0.3687483898298073,0.238538343373946,0.6050019553386677,0.15645970128738623,0.9347362237909669,0.002263726949780942,0.06300004925925212,0.177266063713681,0.6381211654741897,0.18461277081212923
